,elbo
0,22442.600531576947
1,21987.415639580788
2,21884.228763523697
3,21941.222833535074
4,21616.338817611333
5,21546.888462716342
6,21498.781073978545
7,21431.285770347717
8,21418.168039289118
9,21361.85957194865
10,21362.920441040395
11,21324.948875373604
12,21318.622135537862
13,21274.891225939988
14,21295.52872199714
15,21266.33810185194
16,21224.053694060447
17,21220.970995017884
18,21229.844384169577
19,21216.370959037544
20,21184.354785856605
21,21185.75201376378
22,21168.484963330626
23,21191.712653082606
24,21172.23080895543
25,21166.644622945783
26,21149.353106370563
27,21135.962969224154
28,21133.32685109973
29,21125.15685418546
30,21126.71526809186
31,21142.810947947204
32,21110.047086218743
33,21111.809922365843
34,21095.123170036077
35,21092.503284012157
36,21080.62469921261
37,21077.80545470342
38,21110.01572202146
39,21066.928329360486
40,21075.555388991535
41,21074.116879080982
42,21068.03453575373
43,21066.95239795148
44,21090.15575378388
45,21060.37556796521
46,21068.55259116888
47,21062.34201056957
48,21059.453338173033
49,21058.789997893567
50,21060.57571662665
51,21056.86139395535
52,21060.756625291706
53,21058.910115411876
54,21056.14818761647
55,21056.870245110986
56,21055.102778044344
57,21049.822029657662
58,21051.96996933669
59,21057.71845933795
60,21046.090577487645
61,21049.41872027665
62,21057.292619645596
63,21049.175875057277
64,21050.62029251903
65,21049.608239285648
66,21047.088363349438
67,21048.902958710492
68,21048.666732048987
69,21046.692154844106
70,21044.013930913807
71,21042.133188180625
72,21042.41192287058
73,21044.078388482332
74,21042.639184847478
75,21044.97155369818
76,21054.436178717016
77,21044.15408029258
78,21039.78655372858
79,21043.17932080925
80,21044.497410792115
81,21044.422188612818
82,21044.44346258789
83,21039.327476011218
84,21041.119688507915
85,21042.52877110094
86,21042.2742152825
87,21042.392892336848
88,21038.2985031873
89,21044.950690218804
90,21037.231157803537
91,21041.217117044333
92,21036.706071621178
93,21037.820343607666
94,21039.537275336683
95,21039.109871165456
96,21039.177616105975
97,21038.114303806422
98,21039.239185251296
99,21039.979684938487
100,21043.65928490162
101,21040.127726817132
102,21037.52855492681
103,21037.85383441895
104,21036.103323368727
105,21037.845197185878
106,21038.460116492213
107,21036.006770211457
108,21038.33676960766
109,21037.41646708548
110,21036.653520576656
111,21039.120903816816
112,21039.14470883161
113,21037.905812884866
114,21034.81746814847
115,21038.780212330817
116,21038.236208304763
117,21037.90311912894
118,21037.060394963617
119,21036.78389927596
120,21036.239849668746
121,21035.99289791286
122,21039.81032459885
123,21037.9177215144
124,21037.07072107196
125,21035.089029774077
126,21036.758513879773
127,21035.3994879365
128,21034.20381655544
129,21036.719299153985
130,21035.139837361872
131,21035.812783540787
132,21037.15504035205
133,21036.52335445434
134,21037.086538247764
135,21035.118912139536
136,21037.326019801196
137,21036.944055041666
138,21037.38161958009
139,21035.93693767786
140,21036.339204606415
141,21035.77796140313
142,21037.74987695664
143,21035.72702061683
144,21036.124590581654
145,21035.456364694237
146,21034.433634252844
147,21036.167566327753
148,21035.51881750971
149,21036.488429921865
150,21036.97009084523
151,21036.618539641797
152,21036.782808879016
153,21036.10666922331
154,21036.70015486926
155,21036.06515290141
156,21036.384961493313
157,21034.381275735795
158,21035.71846600473
159,21035.490036238727
160,21034.68900792897
161,21037.20647685975
162,21035.269480369985
163,21036.87112850994
164,21036.43190727681
165,21038.105665265026
166,21037.503363691274
167,21035.456038221717
168,21036.118141184746
169,21036.583390249314
170,21035.764098891614
171,21037.09758031964
172,21035.40223020613
173,21036.493247668444
174,21035.957925638555
175,21036.0655281812
176,21035.93611112684
177,21036.109265992043
178,21033.139596098667
179,21037.628666418794
180,21034.960614413027
181,21036.745860043164
182,21034.210975652928
183,21036.446836268897
184,21035.229459165035
185,21035.307023617628
186,21035.342792941632
187,21034.86643029451
188,21034.705285355452
189,21037.091411063073
190,21036.13401274532
191,21037.241012012957
192,21034.301551283897
193,21037.020171308515
194,21034.65639668703
195,21035.377104037998
196,21036.671855087578
197,21035.808245503904
198,21035.143619388346
199,21035.85324497223
