,elbo,condition
0,8354.865815762058,hard
1,8039.893253208697,hard
2,7916.390747197717,hard
3,8510.486291566493,hard
4,7825.600858861208,hard
5,7817.0350933581585,hard
6,7805.995484668016,hard
7,7803.770354643464,hard
8,7822.55223993063,hard
9,7779.1652523249395,hard
10,7774.707861563563,hard
11,7800.543433886767,hard
12,7759.0026525855055,hard
13,7770.918802866341,hard
14,7783.618674212695,hard
15,7779.374267223477,hard
16,7770.182810598612,hard
17,7763.627065289021,hard
18,7766.21357871294,hard
19,7763.2224443525065,hard
20,7751.162173187731,hard
21,7756.931035038828,hard
22,7730.560538160801,hard
23,7755.768910822272,hard
24,7725.8944834709155,hard
25,7721.532330331206,hard
26,7710.287112018465,hard
27,7710.187417125702,hard
28,7720.061766225098,hard
29,7704.249712112546,hard
30,7711.635419791936,hard
31,7691.866016289591,hard
32,7683.0367231547825,hard
33,7711.372516772152,hard
34,7689.253214134276,hard
35,7686.091456697881,hard
36,7682.323175728321,hard
37,7704.277949339152,hard
38,7681.370100362599,hard
39,7691.2444767013185,hard
40,7688.8677604094155,hard
41,7675.221596080811,hard
42,7679.19975065291,hard
43,7677.876619918643,hard
44,7678.807295554876,hard
45,7670.465013596417,hard
46,7671.944807780162,hard
47,7679.88104274869,hard
48,7672.647769100963,hard
49,7670.884276073426,hard
50,7683.794677749649,hard
51,7671.720389908925,hard
52,7659.4357844520355,hard
53,7662.283272796497,hard
54,7662.507624302059,hard
55,7663.5292225398125,hard
56,7676.11374015063,hard
57,7663.384113151952,hard
58,7670.492367635108,hard
59,7663.385359280928,hard
60,7668.31257938142,hard
61,7660.316566636599,hard
62,7663.720386601427,hard
63,7667.087590690703,hard
64,7666.885344754159,hard
65,7662.604051446915,hard
66,7670.748037391901,hard
67,7661.795850910246,hard
68,7680.304544728622,hard
69,7657.4536162599925,hard
70,7682.638695051893,hard
71,7659.669468110426,hard
72,7659.4336644236,hard
73,7657.909284592606,hard
74,7662.5434033272795,hard
75,7657.657710549981,hard
76,7667.444425147026,hard
77,7662.474063040689,hard
78,7657.104913282861,hard
79,7664.939598380774,hard
80,7656.210411245376,hard
81,7660.268961878865,hard
82,7666.872527507692,hard
83,7653.286250970886,hard
84,7662.742296971752,hard
85,7657.836000030487,hard
86,7659.047095140162,hard
87,7663.807621758803,hard
88,7658.851092120818,hard
89,7663.43584207762,hard
90,7660.208880985715,hard
91,7657.234051253274,hard
