,elbo,condition
0,9674.29546292201,hard
1,9337.556208005548,hard
2,8886.989307519794,hard
3,8767.325861009955,hard
4,8524.660504665972,hard
5,8506.40651269257,hard
6,8469.04364170134,hard
7,8368.420147117973,hard
8,8315.384124323726,hard
9,8263.275502637029,hard
10,8224.917775437236,hard
11,8207.21438895166,hard
12,8204.142547902466,hard
13,8177.358783823252,hard
14,8118.104450529813,hard
15,8155.2151198863985,hard
16,8118.919138792158,hard
17,8127.297302001715,hard
18,8117.919357585907,hard
19,8102.76262536943,hard
20,8088.8777371734395,hard
21,8093.945554225147,hard
22,8068.934325206281,hard
23,8079.2221777305,hard
24,8067.599918824434,hard
25,8053.078145164251,hard
26,8048.084170472623,hard
27,8036.095153018832,hard
28,8031.783836176991,hard
29,8021.631382882594,hard
30,8017.924042305351,hard
31,8006.537544348836,hard
32,8018.175268017129,hard
33,8002.937704084442,hard
34,7995.040148872882,hard
35,7993.527425217628,hard
36,8010.409688006341,hard
37,7976.72999265641,hard
38,7994.888161808253,hard
39,7972.048259216546,hard
40,7975.845454397798,hard
41,7983.717594572901,hard
42,7978.921953478457,hard
43,7963.8185982167715,hard
44,7967.642063242199,hard
45,7966.203163170814,hard
46,7965.745743966103,hard
47,7970.783737054468,hard
48,7967.228760059178,hard
49,7974.192157796025,hard
50,7997.782255344092,hard
51,7963.1152414053695,hard
52,7983.627329650522,hard
53,7967.257015797496,hard
54,7971.806821069121,hard
55,7965.289955495298,hard
56,7961.233422975241,hard
57,7959.712759830058,hard
58,7961.179623545706,hard
59,7968.974830962718,hard
60,7974.410893590748,hard
61,7966.291131925584,hard
62,7962.473075249791,hard
63,7955.051748616994,hard
64,7967.57313220352,hard
65,7962.7370105460295,hard
66,7969.3364002496,hard
67,7958.814103126526,hard
68,7969.958213415741,hard
69,7973.939529514313,hard
70,7959.803268386425,hard
71,7961.3561781778935,hard
72,7954.39779753685,hard
73,7958.196706941723,hard
74,7961.287810468673,hard
75,7957.048175901175,hard
76,7954.156813153624,hard
77,7957.115517096221,hard
78,7954.326163637637,hard
79,7953.836868746579,hard
80,7964.672817590833,hard
81,7955.02070082426,hard
82,7958.419401432573,hard
83,7953.687180621922,hard
84,7955.173487314582,hard
85,7955.182783594728,hard
86,7953.376332895457,hard
87,7954.179714022576,hard
88,7955.833751672506,hard
89,7950.804952684045,hard
90,7950.635389810801,hard
91,7946.575308662652,hard
92,7950.114965851605,hard
93,7949.925540041924,hard
94,7953.16555597782,hard
95,7955.45255561471,hard
96,7950.309343129396,hard
97,7953.6122735530125,hard
98,7951.548615899683,hard
99,7951.501068538427,hard
100,7947.077793809772,hard
101,7947.44710740149,hard
102,7945.807844576239,hard
103,7949.750790491699,hard
104,7949.276392301918,hard
105,7952.622171211243,hard
106,7949.324709051848,hard
107,7951.214283442498,hard
108,7946.669801595807,hard
109,7949.891162601114,hard
110,7948.283470860123,hard
111,7948.136147807538,hard
112,7949.413220927119,hard
113,7946.547706145048,hard
114,7949.539683821798,hard
115,7947.258744785191,hard
116,7951.11258763671,hard
117,7945.738031992315,hard
118,7946.356504973769,hard
119,7945.440003663301,hard
120,7947.949182364345,hard
121,7949.196437324583,hard
122,7949.453814721108,hard
123,7948.101488536597,hard
124,7951.097146680951,hard
125,7946.913431048393,hard
126,7947.5793677419415,hard
127,7948.425662893056,hard
128,7947.0924742579455,hard
129,7950.042218741774,hard
130,7945.294734439254,hard
131,7950.057836982608,hard
132,7947.847838670015,hard
133,7949.316415011883,hard
134,7950.939265424014,hard
135,7948.17843479216,hard
136,7947.309657195209,hard
137,7950.123382031918,hard
138,7947.465826442838,hard
139,7948.182588997483,hard
140,7947.471476766467,hard
141,7947.504657739401,hard
142,7948.5460065245625,hard
143,7947.1551892757425,hard
144,7947.122949063778,hard
145,7946.36846882701,hard
146,7949.15504757762,hard
147,7946.98304952383,hard
148,7945.634645959735,hard
149,7948.180213667452,hard
150,7947.055235657095,hard
151,7949.324215890468,hard
152,7947.9007936477665,hard
153,7945.977379164098,hard
154,7946.332800924778,hard
155,7947.383032947779,hard
156,7947.969727036357,hard
157,7949.240123277903,hard
158,7945.309976628422,hard
159,7945.022632604837,hard
160,7946.728966733814,hard
161,7948.196950033308,hard
162,7945.324021977186,hard
163,7947.989336389303,hard
164,7946.121589705348,hard
165,7946.4597516000285,hard
166,7948.412547808885,hard
167,7947.15057477057,hard
168,7947.649555370212,hard
169,7946.382704266905,hard
170,7947.137300351263,hard
171,7946.767375585437,hard
172,7949.308364197613,hard
173,7949.143402460218,hard
174,7947.445434731245,hard
175,7946.942985802889,hard
176,7946.754490500688,hard
177,7944.798436489702,hard
178,7945.614950421454,hard
179,7946.352262312174,hard
180,7947.203990003468,hard
181,7947.444209954142,hard
182,7947.066645562649,hard
183,7944.741120877862,hard
184,7946.702352568507,hard
185,7947.673459625244,hard
186,7946.374811181427,hard
187,7946.729452720284,hard
188,7946.688340094685,hard
189,7945.439080291987,hard
190,7946.960899665951,hard
191,7946.874722224474,hard
192,7946.570055168867,hard
193,7948.649980175494,hard
194,7945.728577646614,hard
195,7946.097457644344,hard
196,7948.484732750059,hard
197,7948.283982351422,hard
198,7947.328056734801,hard
199,7947.750549691916,hard
200,11205.425512901556,medium
201,9867.57539678812,medium
202,9329.526806774737,medium
203,9285.896181246639,medium
204,9458.91916935444,medium
205,8850.506943927705,medium
206,8773.469691020251,medium
207,8648.428429055213,medium
208,8646.474826186895,medium
209,8506.062332740426,medium
210,8451.889886814355,medium
211,8410.579960328341,medium
212,8387.908274248242,medium
213,8361.121350476147,medium
214,8376.914736545084,medium
215,8357.425308835507,medium
216,8337.447579675912,medium
217,8307.411718592048,medium
218,8311.616159015894,medium
219,8322.853080493212,medium
220,8315.303211215138,medium
221,8334.887556138634,medium
222,8317.952190104126,medium
223,8307.261393234134,medium
224,8315.161309471725,medium
225,8294.240009561181,medium
226,8270.232330456376,medium
227,8300.045575851202,medium
228,8288.599680602549,medium
229,8271.838626176119,medium
230,8267.170608147979,medium
231,8263.02838999033,medium
232,8286.368017810582,medium
233,8252.90678549409,medium
234,8265.904664683341,medium
235,8266.526098352671,medium
236,8238.588303670287,medium
237,8271.142492070794,medium
238,8262.7502451092,medium
239,8233.718365204333,medium
240,8228.04331674576,medium
241,8242.445486965775,medium
242,8237.866764941811,medium
243,8214.966376820206,medium
244,8221.046123959124,medium
245,8232.782249823213,medium
246,8215.289933677017,medium
247,8211.838793484867,medium
248,8218.613206563892,medium
249,8204.425888708232,medium
250,8192.785934916137,medium
251,8194.764436793328,medium
252,8205.516020371764,medium
253,8180.005688275397,medium
254,8172.387315586208,medium
255,8175.692952064424,medium
256,8174.140011066198,medium
257,8195.343064563722,medium
