,elbo,condition
0,9686.503466540575,hard
1,9184.368425159157,hard
2,8736.488191387058,hard
3,8516.365736678243,hard
4,8215.58325448632,hard
5,8073.939276435972,hard
6,7914.551403433084,hard
7,7891.374813067913,hard
8,7821.082792270184,hard
9,7754.916837266086,hard
10,7755.259921556711,hard
11,7659.985368663073,hard
12,7656.642915093898,hard
13,7586.470046293735,hard
14,7591.494792249798,hard
15,7562.531566086412,hard
16,7549.594938901067,hard
17,7496.871653029324,hard
18,7485.55389021039,hard
19,7486.128765742481,hard
20,7470.615122014285,hard
21,7442.1355453178285,hard
22,7429.047059983015,hard
23,7385.642525231839,hard
24,7381.740551654249,hard
25,7378.88721382171,hard
26,7362.183681693673,hard
27,7376.473954844474,hard
28,7342.663951931895,hard
29,7348.4596994772555,hard
30,7339.518787345291,hard
31,7350.149641267955,hard
32,7333.281684236973,hard
33,7302.779211321473,hard
34,7317.364578551427,hard
35,7292.770054528117,hard
36,7311.120578429103,hard
37,7286.605534227192,hard
38,7276.892777322232,hard
39,7286.984487105906,hard
40,7279.332992078364,hard
41,7291.227664321661,hard
42,7270.758818041532,hard
43,7286.870700086652,hard
44,7270.521257959306,hard
45,7273.089798595011,hard
46,7267.7216133832935,hard
47,7265.219276095926,hard
48,7278.935215567052,hard
49,7275.796746520698,hard
50,7260.12492177058,hard
51,7265.254217159747,hard
52,7261.886688550189,hard
53,7257.131940070541,hard
54,7249.098399487883,hard
55,7258.315140542388,hard
56,7251.552555565536,hard
57,7269.346078935265,hard
58,7249.985085039587,hard
59,7261.899358695746,hard
60,7255.415647251904,hard
61,7254.984291801601,hard
62,7258.970078879595,hard
63,7249.598652605711,hard
64,7255.76759971492,hard
65,7256.694757747651,hard
66,7250.705683985352,hard
67,7249.144715695828,hard
68,7256.153873905912,hard
69,7255.937684163451,hard
70,7247.389398494363,hard
71,7247.5072007521985,hard
72,7260.391094221173,hard
73,7246.678038075567,hard
74,7253.85539329201,hard
75,7254.1753092385825,hard
76,7254.83913653344,hard
77,7254.42391608879,hard
78,7242.942906972767,hard
79,7246.50027859509,hard
80,7245.531682768463,hard
81,7243.391956028343,hard
82,7246.959146703034,hard
83,7253.315460436045,hard
84,7244.508191867917,hard
85,7249.543771449475,hard
86,7247.364670424164,hard
87,7247.881127050518,hard
88,7247.190616750717,hard
89,7245.384901028872,hard
90,7244.491412643343,hard
91,7244.666451264919,hard
92,7251.78437178731,hard
93,7239.090208171308,hard
94,7244.701702825725,hard
95,7247.416741245985,hard
96,7250.98688578084,hard
97,7242.3339594863355,hard
98,7244.486002895981,hard
99,7244.96807937026,hard
100,7242.681332352757,hard
101,7241.953849765659,hard
102,7240.986130474507,hard
103,7248.618574126065,hard
104,7244.746080876887,hard
105,7243.005268818884,hard
106,7242.324907955527,hard
107,7249.92991799265,hard
108,7240.971944519876,hard
109,7242.350661301613,hard
110,7244.111873999237,hard
111,7243.975741733611,hard
112,7240.529931148888,hard
113,7240.122764151543,hard
114,7241.678095370531,hard
115,7246.669849100708,hard
116,7241.081725811958,hard
117,7242.788744878769,hard
118,7240.935116896032,hard
119,7241.585830704868,hard
120,7240.176065076888,hard
121,7240.017579573394,hard
122,7240.315472481399,hard
123,7243.918345205858,hard
124,7241.039163983613,hard
125,7241.964696978032,hard
126,7242.421638362111,hard
127,7241.969057488441,hard
128,7242.01996268034,hard
129,7242.54774888456,hard
130,7241.279863037168,hard
131,7241.868942561,hard
132,7238.194072672724,hard
133,7240.004313454777,hard
134,7239.545336118341,hard
135,7245.432434152066,hard
136,7241.754925027489,hard
137,7242.086659291386,hard
138,7242.773048168421,hard
139,7239.957564219088,hard
140,7241.075181409717,hard
141,7241.363339290024,hard
142,7241.045719154178,hard
143,7238.952500541509,hard
144,7239.89296817556,hard
145,7239.426865766943,hard
146,7244.155014526845,hard
147,7240.296486229449,hard
148,7239.431661301851,hard
149,7243.715374663472,hard
150,7239.656938567758,hard
151,7241.074218118936,hard
152,7242.117943838239,hard
153,7244.39623978287,hard
154,7240.129271614553,hard
155,7239.823958931863,hard
156,7240.4925070255995,hard
157,7243.533191981911,hard
158,7238.801050254702,hard
159,7240.19168741256,hard
160,7241.9936073511835,hard
161,7237.894597786664,hard
162,7241.009394593538,hard
163,7241.366257581114,hard
164,7242.080094516277,hard
165,7236.863103008271,hard
166,7242.921273660659,hard
167,7242.581563466788,hard
168,7240.53380803168,hard
169,7241.89507137537,hard
170,7240.513261674345,hard
171,7243.407388447971,hard
172,7240.991258177161,hard
173,7237.831354987622,hard
174,7241.532928833366,hard
175,7245.25445812121,hard
176,7244.573552973569,hard
177,7243.617685908079,hard
178,7241.126112928986,hard
179,7242.747957772017,hard
180,7245.492984342575,hard
181,7243.433416393399,hard
182,7240.93176419884,hard
183,7241.683681888879,hard
184,7244.747162781655,hard
185,7241.377562455833,hard
186,7241.309850792587,hard
187,7244.0397795282315,hard
188,7240.481739004701,hard
189,7239.443008431792,hard
190,7243.1774346441025,hard
191,7242.398510120809,hard
192,7244.620864900947,hard
193,7241.222769983113,hard
194,7240.3623753737675,hard
195,7241.7295328393575,hard
196,7242.8917076915495,hard
197,7239.211587885023,hard
198,7238.114012950658,hard
199,7241.6065197259195,hard
200,10092.876195979119,medium
201,9596.73544461429,medium
202,9539.105381989479,medium
203,8555.953593182563,medium
204,8333.761712160707,medium
205,8206.160561552646,medium
206,8056.639143621922,medium
207,7871.718767112494,medium
208,7901.255859178304,medium
209,7788.307995536923,medium
210,7796.336895936728,medium
211,7753.8067011177545,medium
212,7683.440060859918,medium
213,7682.901819282772,medium
214,7702.742220628262,medium
215,7709.549483191967,medium
216,7663.507497698068,medium
217,7578.607728266717,medium
218,7673.113198620081,medium
219,7661.246192467213,medium
220,7597.097004199028,medium
221,7607.84841130972,medium
222,7555.841416084767,medium
223,7580.34072752893,medium
224,7615.406331777572,medium
225,7575.6823554962875,medium
226,7591.182822692394,medium
227,7532.885169920325,medium
228,7513.9409945786,medium
229,7533.3718371868135,medium
230,7535.240011578797,medium
231,7560.947832477093,medium
232,7505.837403267621,medium
233,7471.606907325984,medium
234,7513.520960631967,medium
235,7471.998653617502,medium
236,7487.749305686354,medium
237,7509.460718479753,medium
238,7479.168147072195,medium
239,7466.5541489660745,medium
240,7435.6500940591095,medium
241,7434.548504361511,medium
242,7442.168150487541,medium
243,7434.946267993748,medium
244,7423.956154078246,medium
245,7433.827939498424,medium
246,7405.465210865438,medium
247,7387.030823278427,medium
248,7410.960907715558,medium
249,7419.461354421079,medium
250,7425.317944279314,medium
251,7378.98801215738,medium
252,7371.961696401238,medium
253,7395.519967123866,medium
254,7419.7350149780505,medium
255,7371.650353163481,medium
256,7364.511256951094,medium
257,7369.6725227303805,medium
258,7380.698857036979,medium
259,7380.971958352625,medium
260,7410.204252579808,medium
261,7366.182091492415,medium
262,7361.450635002554,medium
263,7372.1724941127,medium
264,7422.555160538851,medium
265,7360.743591536581,medium
266,7366.3042875371875,medium
267,7376.012776373326,medium
268,7359.098082830757,medium
269,7365.584744071962,medium
270,7351.668155395985,medium
271,7347.349365513028,medium
272,7357.116134122758,medium
273,7344.5496339529755,medium
274,7360.836648084224,medium
275,7346.715020155161,medium
276,7371.005792059004,medium
277,7345.150789932161,medium
278,7351.053047582506,medium
279,7353.928631854803,medium
280,7349.6135062918065,medium
281,7348.406238484383,medium
282,7345.732989270239,medium
283,7351.347960227727,medium
284,7341.412028066814,medium
285,7344.847337374091,medium
286,7340.737439414113,medium
287,7358.283615846189,medium
288,7337.28944380507,medium
289,7349.975711071491,medium
290,7347.934805095941,medium
291,7344.703813712299,medium
292,7345.1318072900185,medium
293,7339.661893581599,medium
294,7345.207207866013,medium
295,7334.653475327789,medium
296,7337.508452681453,medium
297,7340.992251320183,medium
298,7343.371617095173,medium
299,7344.91164213121,medium
300,7339.478933874518,medium
301,7340.751877138018,medium
302,7341.650727722049,medium
303,7337.21887215376,medium
304,7340.947634211181,medium
305,7330.507770295442,medium
306,7341.3881401911385,medium
307,7332.983568982781,medium
