,elbo,condition
0,11116.975936836005,hard
1,9999.354168212414,hard
2,9034.243748027086,hard
3,8883.084645438194,hard
4,9217.21602190435,hard
5,8402.359749531744,hard
6,8305.082345250248,hard
7,8304.08878225386,hard
8,8334.354103541375,hard
9,8203.392811250687,hard
10,8195.326682639123,hard
11,8113.542699927091,hard
12,8126.130613717437,hard
13,8171.981237488985,hard
14,8020.379582884906,hard
15,7970.234330677986,hard
16,7968.210656589271,hard
17,8066.740773952007,hard
18,7955.625499856471,hard
19,7965.138572347164,hard
20,7999.351918303965,hard
21,7960.085949730872,hard
22,7858.505319356919,hard
23,7905.912470251323,hard
24,7891.590517836809,hard
25,7890.13900475502,hard
26,7890.469103366137,hard
27,7832.635472023487,hard
28,7747.063449358941,hard
29,7736.568499478698,hard
30,7718.29271812439,hard
31,7841.382800763845,hard
32,7729.902830189466,hard
33,7746.230555438996,hard
34,7765.861311072112,hard
35,7694.960364735127,hard
36,7680.516331534088,hard
37,7607.012754321097,hard
38,7655.696501453222,hard
39,7620.887114655971,hard
40,7608.302872419357,hard
41,7600.645832997561,hard
42,7641.780342972278,hard
43,7559.040253487228,hard
44,7566.914691311122,hard
45,7543.323856464028,hard
46,7593.491469740868,hard
47,7498.085444986821,hard
48,7466.0372772753235,hard
49,7487.259114912151,hard
50,7461.404953294993,hard
51,7465.29912878275,hard
52,7422.453695413471,hard
53,7427.655806714296,hard
54,7411.596727961302,hard
55,7408.849745085835,hard
56,7435.637708383799,hard
57,7461.589317724109,hard
58,7431.948055288195,hard
59,7386.345710608362,hard
60,7368.30426389873,hard
61,7369.178441169858,hard
62,7379.6215241938835,hard
63,7351.398616850376,hard
64,7344.91552618444,hard
65,7346.392604750394,hard
66,7358.414201086759,hard
67,7335.993059810996,hard
68,7346.143351078034,hard
69,7352.464319524171,hard
70,7319.418045511842,hard
71,7312.17754574418,hard
72,7315.310103723407,hard
73,7315.28831870854,hard
74,7313.416505527496,hard
75,7301.376645427942,hard
76,7329.510008108617,hard
77,7294.175017082691,hard
78,7310.9727591186775,hard
79,7288.112863716483,hard
80,7289.276421099901,hard
81,7281.827482995392,hard
82,7296.536837756634,hard
83,7281.250963547825,hard
84,7273.324041140078,hard
85,7252.074398845434,hard
86,7274.6656835645435,hard
87,7253.375483572484,hard
88,7249.159831213952,hard
89,7253.708416247367,hard
90,7243.850462132692,hard
91,7237.422596168518,hard
92,7251.752353483439,hard
93,7253.696864357591,hard
94,7231.409145343303,hard
95,7226.219655302168,hard
96,7222.86386180818,hard
97,7222.891385886072,hard
98,7222.425757926702,hard
99,7229.9233460038895,hard
100,7238.825168758632,hard
101,7212.848214119673,hard
102,7216.90450719893,hard
103,7219.144418162107,hard
104,7209.840781092645,hard
105,7210.243721181155,hard
106,7220.715354290605,hard
107,7205.173193284869,hard
108,7217.667647150159,hard
109,7221.1410982668385,hard
110,7211.267592385411,hard
111,7209.37922719717,hard
112,7204.7946654856205,hard
113,7200.43305657208,hard
114,7203.570335429908,hard
