,elbo,condition
0,10385.826997470855,hard
1,9076.2255500108,hard
2,8855.236853671075,hard
3,8497.043509262801,hard
4,8261.844119963049,hard
5,8123.054337078333,hard
6,7991.60876954496,hard
7,7969.366777086258,hard
8,7771.276834031941,hard
9,7853.538474267721,hard
10,7736.153357619047,hard
11,7771.723394042253,hard
12,7683.3160338193165,hard
13,7661.578568127751,hard
14,7616.21692042947,hard
15,7592.151294565201,hard
16,7557.804491963983,hard
17,7541.625225529075,hard
18,7547.82122849226,hard
19,7505.529757612943,hard
20,7475.374137800933,hard
21,7467.258590960503,hard
22,7416.838700968027,hard
23,7447.103753393888,hard
24,7406.126080667972,hard
25,7405.16501429677,hard
26,7392.542767576873,hard
27,7371.597064143419,hard
28,7374.10208505392,hard
29,7364.233817002178,hard
30,7309.509189438821,hard
31,7278.5575442850595,hard
32,7292.733030068874,hard
33,7313.83240082711,hard
34,7253.802290917933,hard
35,7271.613307625056,hard
36,7271.333082732558,hard
37,7234.280828894675,hard
38,7235.778592774272,hard
39,7224.964154404401,hard
40,7220.252004432678,hard
41,7210.363024626672,hard
42,7202.486887791752,hard
43,7170.735950508714,hard
44,7208.775993439554,hard
45,7210.366385227441,hard
46,7188.312936416268,hard
47,7189.037438341975,hard
48,7162.706578302383,hard
49,7170.035077705978,hard
50,7161.880729737878,hard
51,7165.315924406052,hard
52,7196.049141840636,hard
53,7159.280841755867,hard
54,7170.998973912001,hard
55,7163.67288775742,hard
56,7154.3580270826815,hard
57,7152.969745412469,hard
58,7153.320495384932,hard
59,7142.991544291377,hard
60,7142.780073544383,hard
61,7160.9125429213045,hard
62,7150.367986980081,hard
63,7145.393390652538,hard
64,7162.876560139656,hard
65,7134.692122814059,hard
66,7137.961608427762,hard
67,7135.778603717685,hard
68,7149.664434251189,hard
69,7131.1624880731115,hard
70,7132.5504090070735,hard
71,7131.10607483983,hard
72,7132.172646707296,hard
73,7130.2763713002205,hard
74,7135.359191432594,hard
75,7124.049348872901,hard
76,7123.995762410759,hard
77,7120.494934350252,hard
78,7129.468704789876,hard
79,7129.357316017151,hard
80,7128.401809278131,hard
81,7128.073075753451,hard
82,7118.960990631581,hard
83,7118.4818171977995,hard
84,7117.929140862821,hard
85,7121.916962191463,hard
86,7119.93986093998,hard
87,7117.684300714732,hard
88,7133.321881517769,hard
89,7117.419074138998,hard
90,7118.205664685368,hard
91,7110.374818584323,hard
92,7118.391386622191,hard
93,7121.087848058343,hard
94,7113.14997305274,hard
95,7117.506720232964,hard
96,7125.761515420676,hard
97,7127.645217740535,hard
98,7114.200016292929,hard
99,7107.950619792939,hard
100,7116.71306540817,hard
101,7123.971441429853,hard
102,7112.538827854394,hard
103,7123.902161306144,hard
104,7121.351754024626,hard
105,7122.375575459003,hard
106,7113.696287557483,hard
107,7117.449321618677,hard
108,7113.649357035757,hard
109,7117.8959237009285,hard
110,7117.959534215927,hard
111,7112.969105279446,hard
112,7112.400636807084,hard
113,7119.937703815102,hard
114,7109.220605283975,hard
115,7124.775002592802,hard
116,7108.783217030764,hard
117,7107.7918666929,hard
118,7108.896240898966,hard
119,7112.776551270485,hard
120,7107.9806079953905,hard
121,7116.263480383158,hard
122,7127.469671136141,hard
123,7108.799588769674,hard
124,7117.588499724865,hard
125,7110.118145301939,hard
126,7109.461078616977,hard
127,7113.648658537865,hard
128,7112.125169584155,hard
129,7108.421416789292,hard
130,7108.853950205445,hard
131,7114.240863162279,hard
132,7116.142372581362,hard
133,7114.666040244699,hard
134,7107.959557807445,hard
135,7112.627284684778,hard
