,elbo
0,27568.0501574263
1,26518.392189271748
2,25511.73365293145
3,24842.03422808945
4,24128.178257760406
5,23694.038548235596
6,23424.629812060295
7,23150.24078309238
8,22959.74002326429
9,22838.28436098993
10,22743.21571397185
11,22666.29917844236
12,22569.17165606022
13,22557.668988776208
14,22423.836283245684
15,22446.792431196565
16,22441.380113667245
17,22331.977024286985
18,22320.141223239898
19,22304.01578542739
20,22260.615727314354
21,22232.49644601196
22,22225.546433193984
23,22219.16620647013
24,22192.925224599243
25,22146.392947053162
26,22141.33033347428
27,22093.634458854795
28,22120.28898833394
29,22104.433781985193
30,22070.89391034059
31,22104.623745939134
32,22080.533140356463
33,22061.908486014978
34,22064.438969248535
35,22049.405221904814
36,22063.908130384985
37,22037.154309116304
38,22027.142807772758
39,22022.929278296233
40,22023.795417696234
41,22026.00882614106
42,22013.21142016947
43,22019.140740822255
44,22013.427940331403
45,22020.370271560554
46,22016.586181524395
47,22006.57572644204
48,22014.82819581181
49,21999.634924314916
50,22002.32032130361
51,21987.72430152893
52,21990.693580287694
53,21993.134648698568
54,21984.21592009961
55,21988.38904101402
56,21997.650482168796
57,21986.892076709868
58,21987.305411821606
59,21989.734235309064
60,21982.625237393382
61,21980.077417033906
62,21973.80028826148
63,21980.44821358621
64,21976.059908308085
65,21983.314817517996
66,21985.638607767225
67,21977.25949843228
68,21978.286984723807
69,21977.943937337397
70,21978.3029971838
71,21976.967554087936
72,21976.626488411428
73,21970.328847558794
74,21970.667957063022
75,21984.984531225266
76,21972.98573137224
77,21973.45414170921
78,21975.23892392218
79,21977.772862008216
80,21967.861921676995
81,21971.037814673782
82,21973.1895519495
83,21981.551198887824
84,21967.634419581293
85,21972.111088877915
86,21971.71372810602
87,21966.851684597135
88,21973.599660097065
89,21971.824306477603
90,21972.689067707954
91,21971.194722162185
92,21966.91397790015
93,21969.824017488954
94,21969.1570443362
95,21967.091815510394
96,21970.231221938135
97,21969.566623324154
98,21969.316279864313
99,21967.810793842375
100,21967.408388195934
101,21968.88603116572
102,21968.94882655293
103,21967.658668912947
104,21966.90832309127
105,21967.445157830418
106,21967.990898051856
107,21967.962319228056
108,21966.335696277016
109,21969.859927242996
110,21966.21166077852
111,21966.867216870185
112,21970.618104919795
113,21966.217871090772
114,21967.07179815918
115,21968.575656943023
116,21965.02620943785
117,21965.876684135197
118,21968.651942838726
119,21967.446833728256
120,21969.05929710567
121,21966.35305509567
122,21968.760261894764
123,21965.438501231372
124,21968.413832682374
125,21964.800354272127
126,21963.958838126062
127,21969.35267418474
128,21964.95585344583
129,21967.31960455775
130,21966.13429134041
131,21966.851856186986
132,21965.448432073
133,21963.912298527364
134,21964.803638720514
135,21967.16682887077
136,21965.317815776172
137,21962.792423397303
138,21962.58771287501
139,21964.047855162622
140,21962.583095514772
141,21965.73733800203
142,21964.39717487991
143,21963.600202789905
144,21965.06118260175
145,21963.404422706364
146,21965.519794774053
147,21963.859252175687
148,21965.960085721315
149,21964.898164278264
150,21966.080121296643
151,21965.23925436288
152,21965.885015439984
153,21965.204695087672
154,21964.889746019246
155,21964.65237546861
156,21963.03722884208
157,21963.546059946715
158,21965.851168882848
159,21964.21250862181
160,21967.137155714634
161,21965.814575022454
162,21965.15167527795
163,21964.079250916842
164,21965.059684988857
165,21964.396753752233
166,21962.424713611606
167,21965.24576037079
168,21965.350520563126
169,21963.818468178804
170,21962.15807614476
171,21964.368179456887
172,21964.12774056494
173,21964.49757160395
174,21964.59545686245
175,21963.84687859118
176,21964.72446054071
177,21964.385589185356
178,21964.46836511046
179,21962.96393584907
180,21965.83326751888
181,21964.32620635629
182,21963.58196130991
183,21963.125985997915
184,21963.54764377177
185,21963.118100515007
186,21963.402979570626
187,21962.122340667247
188,21963.630144929884
189,21965.108825084568
190,21964.522634446625
191,21964.734185409547
192,21963.207501667737
193,21963.141914683583
194,21963.848301035163
195,21963.423978027702
196,21962.996927709875
197,21964.74644314796
198,21964.24928336889
199,21965.134422919153
