,elbo
0,26339.214398550987
1,24911.58877555728
2,23896.990185561775
3,23254.256865510346
4,22649.97361472845
5,22030.473276445275
6,21612.395050933956
7,21516.82793138623
8,21164.788187143207
9,21033.31640026867
10,20833.945771545168
11,20707.011228966712
12,20649.126813074945
13,20581.0062443614
14,20486.867609152196
15,20476.96981319189
16,20416.801433059572
17,20371.801115608218
18,20346.233682736754
19,20251.676576924325
20,20251.111941832303
21,20202.076316788793
22,20190.624452996253
23,20185.567272564767
24,20103.235379245878
25,20071.954416981334
26,20036.707527673247
27,20011.699230897422
28,20024.070999974014
29,19991.79485619664
30,19964.484515835346
31,19955.45962511897
32,19935.788428202268
33,19951.10552658737
34,19930.941927942637
35,19911.673017270863
36,19898.685803629458
37,19908.63177393973
38,19926.009119395912
39,19871.27388023734
40,19859.601505701245
41,19867.10288631469
42,19843.87529100329
43,19866.600076940656
44,19832.57019613981
45,19837.818568269908
46,19826.45825162828
47,19822.820303791017
48,19810.041168090702
49,19827.024035487324
50,19840.906976564227
51,19805.3632026121
52,19817.95502947867
53,19830.302635113894
54,19798.060559673606
55,19803.337251852456
56,19810.070502659677
57,19794.541755872964
58,19792.915344007313
59,19790.04972486943
60,19787.725771570207
61,19804.042849214376
62,19797.785272067787
63,19801.859523263574
64,19792.18663981557
65,19813.599411746858
66,19791.358548270164
67,19789.947532114384
68,19799.44846980572
69,19788.792967642847
70,19794.713612952826
71,19793.027884866297
72,19787.322632238272
73,19779.878884002566
74,19793.507780095937
75,19794.157336897406
76,19779.66930849403
77,19794.089539197088
78,19778.168520270287
79,19776.932892499863
80,19787.011847332124
81,19786.81476278603
82,19781.355977103114
83,19782.80034621209
84,19779.79022490084
85,19774.324142979083
86,19778.184245923163
87,19783.15522143245
88,19774.093873013557
89,19780.399879569562
90,19776.79978570491
91,19769.473673821987
92,19779.9366437912
93,19773.983632165193
94,19781.061192694306
95,19776.542813046275
96,19777.255151000616
97,19776.520560362937
98,19778.21567425728
99,19775.406765182317
100,19767.690201646088
101,19778.188428123296
102,19775.014757528897
103,19778.254523605112
104,19776.62238164246
105,19772.643360453843
106,19771.23965551555
107,19778.90487227589
108,19770.79707634151
109,19772.03391211629
110,19771.954603889582
111,19772.26012925357
112,19768.377626985308
113,19766.57212495208
114,19772.993958446386
115,19771.094198912382
116,19764.838398747146
117,19769.058737307787
118,19768.12775029689
119,19767.899669876697
120,19766.019864006343
121,19768.446217286586
122,19766.799404445293
123,19770.633934730293
124,19768.434069314597
125,19765.53198468387
126,19766.325934216384
127,19769.42801413238
128,19763.062691864372
129,19767.24611361027
130,19766.683391943574
131,19766.152562436462
132,19766.8387565881
133,19767.23028282821
134,19767.911594600973
135,19770.149859339002
136,19766.6977087304
137,19767.414684414864
138,19772.308694028852
139,19765.740256789326
140,19771.4059646219
141,19769.508765220642
142,19767.61563993692
143,19769.21031455249
144,19767.80475063622
145,19768.112723989783
146,19766.935309663415
147,19766.375577500465
148,19770.007958857717
149,19772.09174076319
150,19771.703676198424
151,19767.934461843968
152,19765.134896454216
153,19766.48228355944
154,19765.7243907392
155,19769.61734752506
156,19766.811335003375
157,19766.455280065536
158,19768.579969036575
159,19771.087390321492
160,19765.61488911808
161,19768.754497139158
162,19762.944381174446
163,19767.246084484454
164,19768.776962289216
165,19769.42576900423
166,19768.932988660035
167,19772.810867376626
168,19768.211416536567
169,19768.28637485504
170,19763.60300630331
171,19763.898935434223
172,19765.29945720136
173,19766.077295693754
174,19769.03359774649
175,19766.328411912913
176,19770.31000468135
177,19766.1698733598
178,19761.930754780766
179,19767.14474231601
180,19766.63466325998
181,19765.05800255835
182,19768.173719531296
183,19766.809613487127
184,19770.46879735291
185,19768.32656262219
186,19764.963042077423
187,19764.19942184091
188,19767.50787654817
189,19765.726596105098
190,19761.17023565769
191,19769.80068112463
192,19769.76968652606
193,19764.834820643067
194,19764.63791590482
195,19764.93281725347
196,19764.348833885786
197,19765.042083257435
198,19767.43732370138
199,19767.404451984166
