,elbo
0,27246.677310287952
1,25803.314103025194
2,24956.25022217035
3,23722.613477575775
4,24423.05924977958
5,22969.598129713537
6,22678.006821262836
7,22153.685842716695
8,22148.900798606872
9,21749.400704103704
10,21619.806786081197
11,21492.624389982222
12,21369.022391229868
13,21435.302773839234
14,21218.607260563975
15,21177.70459834635
16,21144.001613616943
17,20976.800027266145
18,21012.94133080542
19,20922.347377991675
20,20882.864631974695
21,20800.940858194233
22,20770.765434634683
23,20747.986926698686
24,20605.909232103826
25,20585.031027838588
26,20575.610621756314
27,20480.153000681104
28,20449.262976008657
29,20391.612589848042
30,20407.978013488653
31,20386.15965999216
32,20346.048830866814
33,20280.903263375163
34,20247.398185127975
35,20234.163556075095
36,20210.948525144162
37,20171.11541725993
38,20182.217955708504
39,20141.59431370795
40,20192.0801862061
41,20136.081187704207
42,20096.085632158814
43,20117.29469195157
44,20040.589286339284
45,20080.42096686363
46,20093.824525262415
47,20043.207010513917
48,20026.83928760439
49,19999.63662153184
50,20042.72623973787
51,20017.191137576105
52,19999.113433375955
53,19998.912097245455
54,19980.19501747042
55,20001.147762167453
56,19989.74211916253
57,19964.18334315568
58,19969.80188238323
59,19949.846005655825
60,19936.80330931172
61,19963.975388386843
62,19914.092694440482
63,19944.73015654981
64,19982.409444835783
65,19925.402485580744
66,19931.35046549589
67,19898.939612403512
68,19903.193108165266
69,19895.554732464254
70,19884.24074052982
71,19906.438305807114
72,19888.416996341573
73,19894.863483601806
74,19883.86774650216
75,19859.06390555836
76,19877.574100563303
77,19899.26353551708
78,19896.685938590766
79,19884.80177060366
80,19867.490246213973
81,19866.3224988237
82,19850.032571460677
83,19832.52219786942
84,19851.82703760713
85,19852.235770040752
86,19846.726613060386
87,19845.992218294738
88,19840.472466052324
89,19838.345294100047
90,19854.020272876325
91,19830.30799013972
92,19833.462937512995
93,19859.18287426755
94,19828.598826806247
95,19833.523347423226
96,19831.86673821807
97,19828.675239223987
98,19813.094866226613
99,19813.345709466932
100,19834.577749405802
101,19808.781574864683
102,19809.990423826875
103,19821.481566097587
104,19806.17234660089
105,19806.159383656828
106,19803.49872285426
107,19822.454421529175
108,19812.3541756317
109,19794.52108103186
110,19828.801910710707
111,19805.337246658655
112,19802.723338200154
113,19803.39027952999
114,19813.392825302482
115,19791.229460354152
116,19796.606821092966
117,19792.364830446615
118,19809.112681484967
119,19803.746640564503
120,19801.555883480607
121,19789.872602444888
122,19785.14956434667
123,19782.894554764032
124,19779.603304828706
125,19786.8249553442
126,19787.85469725728
127,19784.597352770717
128,19782.742908970267
129,19776.35428710282
130,19767.157808151096
131,19774.895674715935
132,19777.17090281025
133,19773.046087522802
134,19777.660636993496
135,19774.99706108868
136,19781.201875306666
137,19782.466283914448
138,19789.25391873121
139,19788.753754529356
140,19783.453428645433
141,19779.527250467243
142,19786.91428830028
143,19806.38357964605
144,19814.308845783773
145,19808.886977010967
146,19806.72444614321
147,19802.31535241827
148,19771.818256111444
149,19779.608332845568
150,19781.8152464062
151,19772.61423125565
152,19778.298887434605
153,19770.901575458054
154,19777.05116357803
155,19777.267248389126
156,19781.66977208257
157,19779.342066508532
158,19774.92198095322
159,19773.52826059535
160,19778.46651440337
161,19791.66750661731
162,19783.186069360378
163,19774.980274158715
164,19777.867984604836
165,19776.929718449715
166,19789.490830171108
167,19763.21613583267
168,19761.69437352121
169,19768.504094429314
170,19775.048537647726
171,19772.113187780975
172,19768.76808861196
173,19766.435520650448
174,19770.446498036385
175,19764.644106051324
176,19757.680318057537
177,19764.53518278301
178,19757.64630509913
179,19753.03359162062
180,19762.520474506917
181,19746.691287767888
182,19749.966865125294
183,19756.316908359528
184,19756.62195930183
185,19759.932402022183
186,19750.88083271682
187,19749.288127782936
188,19764.786715576054
189,19752.522280263896
190,19767.126469936968
191,19760.38415950686
192,19756.286732125285
193,19756.132191880046
194,19751.37805209309
195,19764.404858925936
196,19751.6837073192
197,19751.46662980467
198,19742.084496092797
199,19749.406576755642
