,elbo
0,27473.049877029654
1,25074.955578452344
2,24325.36721662581
3,23541.463081282378
4,22480.239945137502
5,22121.305182570217
6,21620.750186422465
7,21574.2795909971
8,21190.499046975376
9,21066.32369489968
10,20958.937088251118
11,20874.264617583158
12,20748.439495921135
13,20747.323030531403
14,20688.25324162245
15,20541.349272387473
16,20501.26332151592
17,20456.428912723062
18,20456.320759135488
19,20380.675495016574
20,20361.72719373703
21,20323.85306610465
22,20318.813339325785
23,20285.45719475299
24,20248.70850833952
25,20206.950744113325
26,20145.22361391187
27,20187.28435331583
28,20171.729740650953
29,20110.219061706957
30,20128.195394614337
31,20064.75220221281
32,20067.216450545195
33,20109.2295712322
34,20019.750831845406
35,20027.33563544005
36,19991.984979078174
37,20047.87548617646
38,20019.247865802045
39,20015.031713187695
40,19997.995063757895
41,19968.432083947955
42,19972.278120212257
43,19955.97568424493
44,19976.823154559734
45,19964.601138171554
46,19931.426377923788
47,19913.26802150011
48,19947.802990321816
49,19918.659019869567
50,19917.763017216326
51,19888.192241919038
52,19895.63999016583
53,19870.34427974671
54,19888.278691905736
55,19899.00752556026
56,19899.673313314466
57,19865.494531513006
58,19874.62087570727
59,19861.560494048892
60,19845.595870515706
61,19841.396077867972
62,19840.412566387655
63,19858.115978451075
64,19845.246414766458
65,19818.538441783192
66,19830.192258987576
67,19839.70006629676
68,19820.276254312696
69,19819.810216234622
70,19811.00080844313
71,19830.671485572308
72,19814.263588930666
73,19814.19685620442
74,19826.433983160558
75,19798.995482550567
76,19784.144737003746
77,19800.60525291562
78,19797.293837550285
79,19799.570353449883
80,19797.75799897667
81,19789.042607499658
82,19770.83623897806
83,19785.483989130706
84,19778.6084751606
85,19787.294345559178
86,19785.150022611764
87,19791.233011955395
88,19762.943179801852
89,19770.84038697183
90,19784.311701384184
91,19769.46890171692
92,19769.8292347908
93,19781.64190619141
94,19767.040658427777
95,19778.976296146215
96,19761.350243850797
97,19769.205909305812
98,19760.019038027523
99,19756.30452675819
100,19766.03576706126
101,19764.969874244925
102,19746.029443077743
103,19741.84885496646
104,19760.219365668298
105,19749.8077739656
106,19752.744263210145
107,19741.86611233279
108,19738.25738899559
109,19745.291630133426
110,19747.14430871308
111,19742.980661184338
112,19743.222208869454
113,19739.884371568263
114,19743.790176409486
115,19740.671175643805
116,19729.32105282247
117,19729.672743488103
118,19729.938832777363
119,19741.933512637766
120,19722.110067205875
121,19732.431974303723
122,19726.755721656977
123,19735.466400321573
124,19718.794440878926
125,19722.257483948022
126,19719.450988494606
127,19726.022162979843
128,19723.907224141807
129,19714.734743594006
130,19715.91182551831
131,19711.382746072857
132,19722.586826828123
133,19729.794658118484
134,19729.320533192902
135,19712.86375950575
136,19709.393806284294
137,19740.98545605764
138,19721.610597011448
139,19710.966987371445
140,19725.100040963294
141,19727.131503804027
142,19714.840428295734
143,19709.47242821753
144,19711.363172442467
145,19725.186190578344
146,19706.045219384134
147,19732.05836460367
148,19727.62104704902
149,19729.512074419483
150,19723.137456229328
151,19732.253084933756
152,19711.854927391556
153,19708.374118585885
154,19710.13415080495
155,19734.38843225986
156,19757.860942486677
157,19730.846264225987
158,19726.174257874864
159,19722.0028195709
160,19727.29478054941
161,19737.660844338687
162,19747.39416697621
163,19725.550476899
164,19720.32372736931
165,19740.586894370615
166,19736.315237063172
167,19726.623627986013
168,19716.070924385636
169,19721.945149833708
170,19730.02809323445
171,19733.485547646134
172,19721.865588486195
173,19719.98268549591
174,19713.03919593394
175,19712.094859069584
176,19709.74678483382
177,19715.256681846084
178,19714.047567041223
179,19710.582772211732
180,19713.8547188811
181,19719.24347097948
182,19705.100159198046
183,19704.779367319497
184,19712.52286425978
185,19726.81756712347
186,19714.86112113595
187,19701.69104566425
188,19704.35755557567
189,19702.094067486745
190,19712.256402078274
191,19706.658747792244
192,19703.93237048685
193,19709.27273412049
194,19712.10965419337
195,19717.264785899224
196,19713.166770318894
197,19714.032201370595
198,19713.890656056254
199,19717.254997883738
