,subjects,variables,parameter,value
0,1,5th,beta_1,3.783505853677006e-44
1,2,5th,beta_1,3.783505853677006e-44
2,3,5th,beta_1,3.783505853677006e-44
3,4,5th,beta_1,3.783505853677006e-44
4,5,5th,beta_1,3.783505853677006e-44
5,6,5th,beta_1,3.783505853677006e-44
6,7,5th,beta_1,3.783505853677006e-44
7,8,5th,beta_1,3.783505853677006e-44
8,9,5th,beta_1,3.783505853677006e-44
9,10,5th,beta_1,3.783505853677006e-44
10,11,5th,beta_1,3.783505853677006e-44
11,12,5th,beta_1,3.783505853677006e-44
12,13,5th,beta_1,3.783505853677006e-44
13,14,5th,beta_1,3.783505853677006e-44
14,15,5th,beta_1,3.783505853677006e-44
15,16,5th,beta_1,3.783505853677006e-44
16,17,5th,beta_1,3.783505853677006e-44
17,18,5th,beta_1,3.783505853677006e-44
18,19,5th,beta_1,3.783505853677006e-44
19,20,5th,beta_1,3.783505853677006e-44
20,21,5th,beta_1,3.783505853677006e-44
21,22,5th,beta_1,3.783505853677006e-44
22,23,5th,beta_1,3.783505853677006e-44
23,24,5th,beta_1,3.783505853677006e-44
24,25,5th,beta_1,3.783505853677006e-44
25,26,5th,beta_1,3.783505853677006e-44
26,27,5th,beta_1,3.783505853677006e-44
27,28,5th,beta_1,3.783505853677006e-44
28,29,5th,beta_1,3.783505853677006e-44
29,30,5th,beta_1,3.783505853677006e-44
30,31,5th,beta_1,3.783505853677006e-44
31,32,5th,beta_1,3.783505853677006e-44
32,33,5th,beta_1,3.783505853677006e-44
33,34,5th,beta_1,3.783505853677006e-44
34,35,5th,beta_1,3.783505853677006e-44
35,36,5th,beta_1,3.783505853677006e-44
36,37,5th,beta_1,3.783505853677006e-44
37,38,5th,beta_1,3.783505853677006e-44
38,39,5th,beta_1,3.783505853677006e-44
39,40,5th,beta_1,3.783505853677006e-44
40,41,5th,beta_1,3.783505853677006e-44
41,42,5th,beta_1,3.783505853677006e-44
42,43,5th,beta_1,3.783505853677006e-44
43,44,5th,beta_1,3.783505853677006e-44
44,45,5th,beta_1,3.783505853677006e-44
45,46,5th,beta_1,3.783505853677006e-44
46,47,5th,beta_1,3.783505853677006e-44
47,48,5th,beta_1,3.783505853677006e-44
48,49,5th,beta_1,3.783505853677006e-44
49,50,5th,beta_1,3.783505853677006e-44
50,51,5th,beta_1,3.783505853677006e-44
51,52,5th,beta_1,3.783505853677006e-44
52,53,5th,beta_1,3.783505853677006e-44
53,54,5th,beta_1,3.783505853677006e-44
54,55,5th,beta_1,3.783505853677006e-44
55,56,5th,beta_1,3.783505853677006e-44
56,57,5th,beta_1,3.783505853677006e-44
57,58,5th,beta_1,3.783505853677006e-44
58,59,5th,beta_1,3.783505853677006e-44
59,60,5th,beta_1,3.783505853677006e-44
60,61,5th,beta_1,3.783505853677006e-44
61,62,5th,beta_1,3.783505853677006e-44
62,63,5th,beta_1,3.783505853677006e-44
63,64,5th,beta_1,3.783505853677006e-44
64,65,5th,beta_1,3.783505853677006e-44
65,66,5th,beta_1,3.783505853677006e-44
66,67,5th,beta_1,3.783505853677006e-44
67,68,5th,beta_1,3.783505853677006e-44
68,69,5th,beta_1,3.783505853677006e-44
69,70,5th,beta_1,3.783505853677006e-44
70,71,5th,beta_1,3.783505853677006e-44
71,72,5th,beta_1,3.783505853677006e-44
72,73,5th,beta_1,3.783505853677006e-44
73,74,5th,beta_1,3.783505853677006e-44
74,75,5th,beta_1,3.783505853677006e-44
75,76,5th,beta_1,3.783505853677006e-44
76,77,5th,beta_1,3.783505853677006e-44
77,78,5th,beta_1,3.783505853677006e-44
78,79,5th,beta_1,3.783505853677006e-44
79,80,5th,beta_1,3.783505853677006e-44
80,81,5th,beta_1,3.783505853677006e-44
81,82,5th,beta_1,3.783505853677006e-44
82,83,5th,beta_1,3.783505853677006e-44
83,84,5th,beta_1,3.783505853677006e-44
84,85,5th,beta_1,3.783505853677006e-44
85,86,5th,beta_1,3.783505853677006e-44
86,87,5th,beta_1,3.783505853677006e-44
87,88,5th,beta_1,3.783505853677006e-44
88,89,5th,beta_1,3.783505853677006e-44
89,1,median,beta_1,3.783505853677006e-44
90,2,median,beta_1,3.783505853677006e-44
91,3,median,beta_1,3.783505853677006e-44
92,4,median,beta_1,3.783505853677006e-44
93,5,median,beta_1,3.783505853677006e-44
94,6,median,beta_1,3.783505853677006e-44
95,7,median,beta_1,3.783505853677006e-44
